TCP | 03/29/1999 08:16:13 | 172.16.114.168:2000 | 196.37.75.158:25 | Normal
TCP | 03/29/1999 08:52:17 | 172.16.116.194:19061 | 199.95.74.90:80 | Normal
TCP | 03/29/1999 08:58:55 | 172.16.112.149:1236 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:55:25 | 172.16.112.149:22589 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:59:24 | 172.16.112.149:4233 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:03:24 | 172.16.112.149:16451 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:38:25 | 172.16.117.52:4636 | 205.181.112.65:80 | Normal
TCP | 03/29/1999 08:59:13 | 172.16.112.149:3203 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:02:14 | 172.16.112.149:12411 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:26 | 172.16.117.52:26864 | 206.190.45.108:80 | Normal
TCP | 03/29/1999 09:04:59 | 172.16.116.44:21624 | 134.177.3.35:80 | Normal
TCP | 03/29/1999 09:06:32 | 172.16.112.149:27231 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:05:25 | 172.16.112.149:23185 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:37:37 | 172.16.117.52:4202 | 205.181.112.65:80 | Normal
TCP | 03/29/1999 08:59:03 | 135.8.60.182:3837 | 172.16.114.207:25 | Normal
TCP | 03/29/1999 09:01:50 | 172.16.112.149:11846 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:49 | 172.16.116.44:20603 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:43:20 | 172.16.112.149:9816 | 208.160.10.122:80 | Normal
TCP | 03/29/1999 09:05:20 | 172.16.116.44:22651 | 134.177.3.35:80 | Normal
TCP | 03/29/1999 08:59:06 | 172.16.114.148:2067 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:59:00 | 172.16.112.149:1558 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:03:18 | 172.16.112.149:16205 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:15 | 172.16.112.149:13363 | 209.67.139.37:80 | Normal
TCP | 03/29/1999 08:49:55 | 172.16.116.194:16434 | 204.123.2.66:80 | Normal
TCP | 03/29/1999 08:47:40 | 172.16.117.52:14545 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 08:52:32 | 172.16.112.149:19377 | 209.84.4.41:80 | Normal
TCP | 03/29/1999 08:51:14 | 172.16.112.149:17530 | 209.84.4.31:80 | Normal
TCP | 03/29/1999 08:58:12 | 195.73.151.50:3717 | 172.16.113.105:25 | Normal
TCP | 03/29/1999 09:02:28 | 172.16.116.194:12805 | 207.46.179.15:80 | Normal
TCP | 03/29/1999 08:56:40 | 172.16.112.149:25913 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:58:33 | 172.16.112.149:31250 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:19 | 172.16.116.194:7784 | 160.147.68.21:80 | Normal
TCP | 03/29/1999 09:05:20 | 172.16.116.44:22699 | 134.177.3.35:80 | Normal
TCP | 03/29/1999 09:06:15 | 172.16.117.52:25976 | 204.151.33.3:80 | Normal
TCP | 03/29/1999 08:58:20 | 172.16.112.149:30729 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:38 | 172.16.112.149:27306 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:51:54 | 172.16.116.194:18521 | 199.95.74.90:80 | Normal
TCP | 03/29/1999 09:00:20 | 172.16.117.52:8226 | 209.133.83.18:80 | Normal
TCP | 03/29/1999 09:04:19 | 172.16.116.194:19174 | 143.166.224.42:80 | Normal
TCP | 03/29/1999 09:02:42 | 172.16.112.149:14387 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:30 | 172.16.112.149:19748 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:22 | 197.182.91.233:3960 | 172.16.112.100:25 | Normal
TCP | 03/29/1999 08:58:50 | 172.16.112.149:1026 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:02:58 | 172.16.112.149:14934 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:43:43 | 172.16.114.207:11531 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:43:39 | 172.16.114.207:11185 | 199.95.209.99:80 | Normal
TCP | 03/29/1999 08:55:14 | 172.16.117.52:21937 | 208.216.182.15:80 | Normal
TCP | 03/29/1999 08:55:35 | 172.16.112.149:23087 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:58:55 | 172.16.112.149:1303 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:56 | 172.16.112.149:12313 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:56:51 | 172.16.112.149:26621 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:59:18 | 172.16.112.149:4166 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:34 | 172.16.112.149:14466 | 165.1.76.100:80 | Normal
TCP | 03/29/1999 09:04:40 | 172.16.112.149:20546 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:42:32 | 172.16.116.44:9058 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:49:25 | 172.16.116.194:15974 | 136.149.63.132:80 | Normal
TCP | 03/29/1999 09:00:22 | 172.16.112.149:8243 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:45:42 | 172.16.117.111:12384 | 207.217.78.131:80 | Normal
TCP | 03/29/1999 09:01:54 | 172.16.117.111:12287 | 199.94.100.2:80 | Normal
TCP | 03/29/1999 08:02:50 | 135.8.60.182:1200 | 172.16.112.207:25 | Normal
TCP | 03/29/1999 08:48:55 | 172.16.117.111:15403 | 207.25.71.63:80 | Normal
TCP | 03/29/1999 09:04:38 | 172.16.116.194:20523 | 143.166.224.42:80 | Normal
TCP | 03/29/1999 09:04:10 | 172.16.114.168:18554 | 135.8.60.182:25 | Normal
TCP | 03/29/1999 09:02:31 | 172.16.112.149:13245 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:57:30 | 172.16.112.149:28731 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:57:15 | 172.16.116.44:27690 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 09:03:50 | 172.16.112.149:17527 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:04:49 | 172.16.116.44:20595 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:59:47 | 172.16.112.149:5201 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:54:42 | 172.16.117.52:21528 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 08:48:31 | 135.13.216.191:3262 | 172.16.112.194:25 | Normal
TCP | 03/29/1999 08:55:58 | 172.16.112.149:24637 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:38 | 172.16.112.149:27262 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:35:32 | 172.16.117.52:3145 | 207.200.75.201:80 | Normal
TCP | 03/29/1999 08:57:25 | 172.16.112.149:28708 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:59:41 | 172.16.112.149:5134 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:43:30 | 172.16.114.207:10569 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:35:17 | 172.16.117.111:2614 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:58:20 | 172.16.112.149:30685 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:33 | 172.16.112.149:8304 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:55:42 | 172.16.112.149:23655 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:58:39 | 172.16.112.149:31442 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:02:01 | 172.16.112.149:12330 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:38 | 172.16.112.149:8310 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:44 | 172.16.112.149:8665 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:43:29 | 172.16.114.207:10522 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:57:35 | 172.16.112.149:28771 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:57:23 | 172.16.117.111:28691 | 199.94.100.2:80 | Normal
TCP | 03/29/1999 08:50:23 | 172.16.116.44:16487 | 207.25.71.200:80 | Normal
TCP | 03/29/1999 09:04:49 | 172.16.116.44:20742 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:53:56 | 172.16.114.169:20574 | 194.27.251.21:25 | Normal
TCP | 03/29/1999 08:56:03 | 172.16.112.149:24660 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:55:58 | 172.16.112.149:24639 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:06:49 | 172.16.112.149:27715 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:43:29 | 172.16.114.207:10380 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 09:02:57 | 172.16.112.149:14910 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:02:01 | 172.16.112.149:12324 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:04:30 | 172.16.112.149:19754 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:59:07 | 172.16.112.149:2073 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:20 | 172.16.116.44:13884 | 208.246.240.242:80 | Normal
TCP | 03/29/1999 08:57:58 | 172.16.112.149:29713 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:30 | 172.16.112.149:19818 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:11:52 | 172.16.114.169:1488 | 197.182.91.233:25 | Normal
TCP | 03/29/1999 08:56:24 | 172.16.112.149:25569 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:49:25 | 172.16.116.194:16164 | 136.149.63.132:80 | Normal
TCP | 03/29/1999 08:25:52 | 197.182.91.233:2521 | 172.16.112.100:25 | Normal
TCP | 03/29/1999 08:53:58 | 172.16.112.149:20588 | 209.84.4.41:80 | Normal
TCP | 03/29/1999 08:59:10 | 172.16.116.194:2611 | 160.147.68.21:80 | Normal
TCP | 03/29/1999 08:59:35 | 172.16.112.149:4740 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:58 | 172.16.116.44:21150 | 134.177.3.35:80 | Normal
TCP | 03/29/1999 08:40:10 | 172.16.112.149:7385 | 208.160.10.122:80 | Normal
TCP | 03/29/1999 08:47:16 | 172.16.112.149:13591 | 209.67.139.37:80 | Normal
TCP | 03/29/1999 08:58:09 | 172.16.112.149:30041 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:53:27 | 172.16.117.52:20555 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 08:58:50 | 172.16.112.149:1107 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:04 | 172.16.112.149:6214 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:45 | 172.16.112.149:11331 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:14 | 172.16.112.149:25717 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:45 | 172.16.112.149:11055 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:55:12 | 172.16.116.194:21665 | 199.95.74.90:80 | Normal
TCP | 03/29/1999 09:03:14 | 172.16.117.52:16078 | 209.133.83.18:80 | Normal
TCP | 03/29/1999 09:00:07 | 172.16.117.111:6223 | 199.94.100.2:80 | Normal
TCP | 03/29/1999 08:37:37 | 172.16.117.52:4208 | 205.181.112.67:80 | Normal
TCP | 03/29/1999 08:47:26 | 172.16.115.87:13982 | 199.95.209.99:80 | Normal
TCP | 03/29/1999 08:49:55 | 172.16.116.194:16438 | 199.95.209.99:80 | Normal
TCP | 03/29/1999 08:02:13 | 172.16.114.148:1052 | 196.227.33.189:25 | Normal
TCP | 03/29/1999 09:02:37 | 172.16.112.149:13942 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:40 | 172.16.117.52:14550 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 08:57:47 | 172.16.112.149:28826 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:46:19 | 172.16.117.52:12864 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 08:40:48 | 172.16.112.149:8259 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 09:03:24 | 172.16.112.149:16467 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:47:16 | 172.16.112.149:13585 | 209.67.139.37:80 | Normal
TCP | 03/29/1999 09:02:30 | 172.16.116.44:12935 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:52:17 | 172.16.116.194:18996 | 199.95.74.90:80 | Normal
TCP | 03/29/1999 08:38:26 | 172.16.117.52:4801 | 205.181.112.65:80 | Normal
TCP | 03/29/1999 08:58:28 | 172.16.116.194:30802 | 207.25.71.200:80 | Normal
TCP | 03/29/1999 09:04:13 | 172.16.112.149:18556 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:51:15 | 172.16.112.149:18007 | 209.84.4.31:80 | Normal
TCP | 03/29/1999 09:04:52 | 172.16.112.149:21058 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:52:32 | 172.16.112.149:19313 | 209.84.4.41:80 | Normal
TCP | 03/29/1999 08:57:03 | 172.16.112.149:26747 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:57:20 | 172.16.112.149:27942 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:08 | 172.16.112.149:18552 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:43:35 | 172.16.116.44:10800 | 209.185.250.103:80 | Normal
TCP | 03/29/1999 08:46:13 | 172.16.112.149:12465 | 209.67.139.37:80 | Normal
TCP | 03/29/1999 09:00:16 | 172.16.112.149:6993 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:26 | 172.16.115.87:14102 | 204.123.2.107:80 | Normal
TCP | 03/29/1999 08:56:30 | 172.16.112.149:25653 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:52:17 | 172.16.116.194:18978 | 199.95.74.90:80 | Normal
TCP | 03/29/1999 08:48:55 | 172.16.117.111:15458 | 207.25.71.62:80 | Normal
TCP | 03/29/1999 08:58:15 | 172.16.112.149:30332 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:59:52 | 172.16.112.149:5330 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:30 | 172.16.112.149:14420 | 209.67.139.102:80 | Normal
TCP | 03/29/1999 08:43:30 | 172.16.114.207:10633 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:58:56 | 172.16.112.149:1361 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:02:25 | 172.16.112.149:12601 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:01:34 | 172.16.112.149:10741 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:55:47 | 172.16.112.149:24167 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:56:08 | 172.16.112.149:24691 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:10 | 172.16.112.100:3904 | 207.51.18.105:80 | Normal
TCP | 03/29/1999 08:53:57 | 172.16.114.169:20575 | 194.7.248.153:25 | Normal
TCP | 03/29/1999 08:51:38 | 172.16.117.111:18389 | 208.209.46.36:80 | Normal
TCP | 03/29/1999 08:57:21 | 172.16.116.44:28272 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:48:16 | 172.16.117.111:14993 | 207.25.71.63:80 | Normal
TCP | 03/29/1999 08:59:58 | 172.16.112.149:6150 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:58:44 | 172.16.112.149:32294 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:12:48 | 197.218.177.69:2106 | 172.16.113.84:25 | Normal
TCP | 03/29/1999 08:57:21 | 172.16.116.44:28525 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:57:08 | 172.16.112.149:26926 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:05:08 | 172.16.112.149:21873 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:55:25 | 172.16.112.149:22642 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:57:52 | 172.16.112.149:29254 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:29 | 172.16.116.44:14353 | 207.25.71.30:80 | Normal
TCP | 03/29/1999 09:00:33 | 172.16.112.149:8299 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:43:31 | 172.16.114.148:10780 | 204.71.200.74:80 | Normal
TCP | 03/29/1999 09:01:50 | 172.16.112.149:11530 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:58:27 | 172.16.116.194:30742 | 207.25.71.200:80 | Normal
TCP | 03/29/1999 09:02:58 | 172.16.112.149:14930 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:48:55 | 172.16.117.111:15461 | 207.25.71.62:80 | Normal
TCP | 03/29/1999 09:04:35 | 172.16.112.149:20076 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:54:14 | 172.16.117.111:20985 | 209.215.174.245:80 | Normal
TCP | 03/29/1999 08:55:35 | 172.16.112.149:23106 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:02:14 | 172.16.112.149:12392 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:46:13 | 172.16.112.149:12548 | 209.67.139.37:80 | Normal
UDP | 03/29/1999 08:04:24 | 172.16.112.20:53 | 197.218.177.69:53 | Normal
TCP | 03/29/1999 08:39:52 | 172.16.117.52:6410 | 205.181.112.65:80 | Normal
TCP | 03/29/1999 08:51:15 | 172.16.112.149:17689 | 209.84.4.31:80 | Normal
TCP | 03/29/1999 09:03:53 | 172.16.116.194:18046 | 143.166.224.42:80 | Normal
TCP | 03/29/1999 09:05:03 | 172.16.112.149:21730 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:58:04 | 172.16.117.111:29970 | 199.94.100.2:80 | Normal
TCP | 03/29/1999 09:06:32 | 172.16.112.149:27216 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:47:30 | 172.16.112.149:14414 | 209.67.139.102:80 | Normal
TCP | 03/29/1999 09:02:02 | 172.16.116.44:12353 | 134.205.165.120:80 | Normal
TCP | 03/29/1999 08:35:16 | 172.16.117.111:2613 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 09:06:56 | 172.16.117.52:28146 | 151.193.131.161:80 | Normal
TCP | 03/29/1999 08:51:05 | 172.16.116.44:17333 | 207.25.71.200:80 | Normal
TCP | 03/29/1999 08:53:27 | 172.16.117.52:20553 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 09:01:12 | 172.16.112.149:9855 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:33 | 172.16.112.149:10542 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:57:36 | 172.16.112.149:28776 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:04 | 172.16.112.149:6164 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:59:18 | 172.16.116.44:4167 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:35:32 | 172.16.117.52:3203 | 198.3.99.120:80 | Normal
TCP | 03/29/1999 08:40:10 | 172.16.117.52:7273 | 205.181.112.67:80 | Normal
TCP | 03/29/1999 08:59:10 | 172.16.116.194:2605 | 160.147.68.21:80 | Normal
TCP | 03/29/1999 08:51:39 | 172.16.117.111:18449 | 208.209.46.36:80 | Normal
TCP | 03/29/1999 08:43:39 | 172.16.114.207:10995 | 199.95.209.99:80 | Normal
TCP | 03/29/1999 08:50:23 | 172.16.116.44:16500 | 207.25.71.200:80 | Normal
TCP | 03/29/1999 08:59:20 | 172.16.116.44:4202 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:23:33 | 172.16.114.148:2106 | 194.27.251.21:25 | Normal
TCP | 03/29/1999 09:00:19 | 172.16.116.194:7585 | 160.147.68.21:80 | Normal
TCP | 03/29/1999 08:27:13 | 135.8.60.182:2592 | 172.16.112.50:23 | Normal
TCP | 03/29/1999 09:06:43 | 172.16.112.149:27374 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:43:23 | 172.16.116.44:10314 | 209.185.250.103:80 | Normal
TCP | 03/29/1999 09:04:35 | 172.16.112.149:20205 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:02:20 | 172.16.112.149:12442 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:44 | 172.16.112.149:27651 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:05:41 | 172.16.112.149:23817 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:42:08 | 172.16.112.149:8549 | 136.149.63.132:80 | Normal
TCP | 03/29/1999 08:46:58 | 172.16.114.207:12958 | 209.1.112.251:80 | Normal
TCP | 03/29/1999 09:04:19 | 172.16.116.194:18998 | 143.166.224.42:80 | Normal
TCP | 03/29/1999 09:06:22 | 172.16.116.44:26398 | 204.146.18.33:80 | Normal
TCP | 03/29/1999 08:59:11 | 172.16.116.194:2805 | 160.147.68.21:80 | Normal
TCP | 03/29/1999 09:04:49 | 172.16.116.44:20602 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 09:05:41 | 172.16.112.149:23882 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:40:31 | 172.16.112.149:7911 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 09:00:04 | 172.16.112.149:6208 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:06 | 172.16.112.149:9791 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:50 | 172.16.112.149:11460 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:38:26 | 172.16.117.52:4866 | 205.181.112.74:80 | Normal
TCP | 03/29/1999 08:47:30 | 196.227.33.189:3201 | 172.16.112.149:25 | Normal
TCP | 03/29/1999 09:00:54 | 172.16.112.149:9267 | 207.121.184.81:80 | Normal
