TCP | 03/30/1999 11:47:22 | 196.227.33.189:15394 | 172.16.112.100:21 | 31.26
TCP | 03/30/1999 12:35:04 | 135.13.216.191:21118 | 172.16.112.50:23 | 25.12
TCP | 03/30/1999 10:41:12 | 194.27.251.21:1050 | 172.16.113.50:23 | 55.82
TCP | 03/30/1999 12:13:55 | 197.182.91.233:17587 | 172.16.112.50:23 | 27.26
TCP | 03/30/1999 14:51:50 | 194.7.248.153:6741 | 172.16.112.194:23 | 29.91
TCP | 03/30/1999 11:55:57 | 194.27.251.21:16079 | 172.16.112.194:23 | 29.21
TCP | 03/30/1999 14:14:41 | 195.73.151.50:1106 | 172.16.113.84:23 | 52.13
TCP | 03/30/1999 11:57:22 | 194.27.251.21:16448 | 172.16.112.194:23 | 29.3
TCP | 03/30/1999 13:48:30 | 197.218.177.69:28248 | 172.16.112.50:23 | 26.66
TCP | 03/30/1999 12:01:20 | 135.8.60.182:16486 | 172.16.112.194:23 | 32.0
TCP | 03/30/1999 15:00:29 | 135.8.60.182:7905 | 172.16.112.50:23 | 25.34
TCP | 03/30/1999 09:45:08 | 195.115.218.108:8232 | 172.16.112.50:23 | 26.83
TCP | 03/30/1999 12:34:25 | 196.227.33.189:21103 | 172.16.112.50:23 | 25.97
TCP | 03/30/1999 08:41:11 | 202.77.162.213:1025 | 172.16.112.50:23 | 59.5
TCP | 03/30/1999 15:10:27 | 194.7.248.153:8600 | 172.16.112.50:23 | 26.24
TCP | 03/30/1999 13:38:29 | 172.16.114.168:18554 | 197.182.91.233:23 | 54.35
TCP | 03/30/1999 10:11:07 | 195.115.218.108:9460 | 172.16.112.100:23 | 48.22
TCP | 03/30/1999 11:31:56 | 194.7.248.153:14237 | 172.16.112.194:23 | 29.08
TCP | 03/30/1999 10:11:53 | 194.7.248.153:9601 | 172.16.112.194:23 | 28.11
TCP | 03/30/1999 15:34:03 | 172.16.114.168:1648 | 197.182.91.233:23 | 25.92
TCP | 03/30/1999 12:07:53 | 196.227.33.189:16856 | 172.16.112.50:23 | 24.76
TCP | 03/30/1999 12:36:40 | 196.37.75.158:21559 | 172.16.112.50:23 | 25.83
TCP | 03/30/1999 09:01:04 | 194.7.248.153:3654 | 172.16.113.50:23 | 35.81
TCP | 03/30/1999 14:07:11 | 196.227.33.189:30790 | 172.16.113.50:23 | 35.51
TCP | 03/30/1999 11:38:30 | 196.37.75.158:14931 | 172.16.114.50:23 | 32.9
TCP | 03/30/1999 10:26:28 | 194.27.251.21:10364 | 172.16.112.50:23 | 26.19
TCP | 03/30/1999 10:23:29 | 195.115.218.108:10317 | 172.16.112.50:23 | 26.35
TCP | 03/30/1999 13:30:14 | 194.27.251.21:26692 | 172.16.112.194:23 | 28.0
TCP | 03/30/1999 09:09:17 | 197.182.91.233:1491 | 172.16.112.50:23 | 27.49
TCP | 03/30/1999 12:16:02 | 197.182.91.233:17972 | 172.16.114.50:23 | 33.65
TCP | 03/30/1999 08:15:16 | 197.182.91.233:1687 | 172.16.112.50:23 | 25.6
TCP | 03/30/1999 13:32:25 | 194.27.251.21:26757 | 172.16.112.194:23 | 28.61
TCP | 03/30/1999 09:17:57 | 135.13.216.191:4249 | 172.16.112.50:23 | 22.4
TCP | 03/30/1999 12:04:28 | 196.37.75.158:16523 | 172.16.112.50:23 | 28.04
TCP | 03/30/1999 09:16:15 | 194.27.251.21:4241 | 172.16.112.194:23 | 29.73
TCP | 03/30/1999 14:44:56 | 135.8.60.182:5203 | 172.16.112.100:23 | 47.5
TCP | 03/30/1999 10:23:27 | 135.8.60.182:10316 | 172.16.112.50:23 | 28.16
TCP | 03/30/1999 13:54:41 | 194.27.251.21:28785 | 172.16.112.194:23 | 32.3
TCP | 03/30/1999 13:42:24 | 135.13.216.191:27690 | 172.16.112.50:23 | 29.25
TCP | 03/30/1999 12:15:33 | 135.8.60.182:17848 | 172.16.113.50:23 | 52.34
TCP | 03/30/1999 14:34:58 | 195.115.218.108:3671 | 172.16.113.50:23 | 38.19
TCP | 03/30/1999 08:09:26 | 135.8.60.182:1029 | 172.16.112.194:23 | 32.24
TCP | 03/30/1999 13:54:17 | 207.253.84.13:1941 | 172.16.112.194:23 | 26.96
TCP | 03/30/1999 12:37:09 | 135.8.60.182:21577 | 172.16.112.50:23 | 26.56
TCP | 03/30/1999 10:52:58 | 194.7.248.153:11393 | 172.16.112.100:23 | 51.85
TCP | 03/30/1999 14:32:23 | 205.160.208.190:2063 | 172.16.112.100:23 | 49.65
TCP | 03/30/1999 10:03:10 | 194.7.248.153:9262 | 172.16.112.194:23 | 28.12
TCP | 03/30/1999 14:05:16 | 196.37.75.158:30740 | 172.16.112.50:23 | 30.09
TCP | 03/30/1999 10:23:08 | 194.7.248.153:10312 | 172.16.112.194:23 | 31.38
TCP | 03/30/1999 14:53:53 | 194.27.251.21:6868 | 172.16.112.194:23 | 27.88
TCP | 03/30/1999 12:54:42 | 195.73.151.50:23440 | 172.16.113.50:23 | 65.59
TCP | 03/30/1999 12:30:43 | 194.7.248.153:20498 | 172.16.112.194:23 | 28.81
TCP | 03/30/1999 13:07:08 | 194.27.251.21:24633 | 172.16.112.194:23 | 28.82
TCP | 03/30/1999 11:16:19 | 195.73.151.50:12862 | 172.16.112.50:23 | 26.95
TCP | 03/30/1999 15:12:23 | 196.227.33.189:9291 | 172.16.112.50:23 | 27.09
TCP | 03/30/1999 12:10:50 | 172.16.114.168:7302 | 197.182.91.233:23 | 51.33
TCP | 03/30/1999 11:27:09 | 194.7.248.153:14028 | 172.16.112.194:23 | 30.21
TCP | 03/30/1999 14:47:51 | 194.7.248.153:6188 | 172.16.112.194:23 | 28.55
Max attack 23 : 94.10558953597342
Min attack 23 : 22.396709835155782
Max free 23 : 254.01748690977257
Min free 23 : 18.78481643568542
Total time is : 0 hour 0 minutes 0 seconds
Total attack packet: 71
Total free packet: 42

TCP | 03/30/1999 15:54:40 | 194.27.251.21:4203 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:54:07 | 194.27.251.21:4167 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:54:13 | 194.27.251.21:4172 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:23:13 | 172.16.114.148:13473 | 197.182.91.233:25 | 22.77
TCP | 03/30/1999 09:51:15 | 172.16.114.168:7239 | 197.218.177.69:25 | 18.07
TCP | 03/30/1999 15:55:15 | 194.27.251.21:4249 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 08:34:09 | 194.27.251.21:2181 | 172.16.112.194:25 | 15.08
TCP | 03/30/1999 15:25:49 | 172.16.113.84:19087 | 194.27.251.21:25 | 22.84
TCP | 03/30/1999 12:12:16 | 172.16.113.105:8800 | 197.182.91.233:25 | 17.2
TCP | 03/30/1999 14:04:31 | 172.16.113.84:29714 | 197.218.177.69:25 | 23.95
TCP | 03/30/1999 15:11:32 | 135.8.60.182:9270 | 172.16.112.100:25 | 24.1
TCP | 03/30/1999 08:18:49 | 197.218.177.69:1877 | 172.16.112.100:25 | 19.52
TCP | 03/30/1999 15:28:17 | 172.16.112.149:21741 | 197.182.91.233:25 | 14.69
TCP | 03/30/1999 09:40:29 | 197.218.177.69:7103 | 172.16.112.100:25 | 16.74
TCP | 03/30/1999 11:49:27 | 172.16.114.148:20102 | 197.218.177.69:25 | 24.33
TCP | 03/30/1999 11:48:19 | 197.218.177.69:15463 | 172.16.112.100:25 | 15.36
TCP | 03/30/1999 13:44:46 | 194.7.248.153:27750 | 172.16.112.100:25 | 24.91
TCP | 03/30/1999 13:54:08 | 172.16.113.204:13900 | 197.182.91.233:25 | 15.22
TCP | 03/30/1999 13:25:33 | 172.16.112.149:2750 | 197.218.177.69:25 | 16.56
TCP | 03/30/1999 11:48:38 | 196.227.33.189:15468 | 172.16.114.207:25 | 20.87
TCP | 03/30/1999 09:00:14 | 194.7.248.153:3588 | 172.16.113.84:25 | 23.93
TCP | 03/30/1999 12:11:37 | 197.182.91.233:17186 | 172.16.112.100:25 | 26.73
TCP | 03/30/1999 15:51:35 | 194.27.251.21:2128 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 13:35:49 | 172.16.112.207:15879 | 194.27.251.21:25 | 20.1
TCP | 03/30/1999 09:27:51 | 197.182.91.233:6193 | 172.16.112.100:25 | 16.63
TCP | 03/30/1999 09:08:04 | 197.218.177.69:4185 | 172.16.112.100:25 | 22.13
TCP | 03/30/1999 09:22:44 | 172.16.112.194:7463 | 197.218.177.69:25 | 16.22
TCP | 03/30/1999 11:54:02 | 172.16.114.148:23305 | 197.182.91.233:25 | 17.18
TCP | 03/30/1999 10:09:58 | 172.16.112.149:24643 | 194.27.251.21:25 | 37.92
TCP | 03/30/1999 09:56:21 | 172.16.113.204:12415 | 194.27.251.21:25 | 24.83
TCP | 03/30/1999 12:12:30 | 172.16.113.105:8805 | 197.218.177.69:25 | 18.59
TCP | 03/30/1999 15:36:32 | 172.16.114.168:2427 | 194.27.251.21:25 | 14.29
TCP | 03/30/1999 15:51:56 | 194.27.251.21:2385 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 12:31:40 | 194.7.248.153:20596 | 172.16.112.100:25 | 22.28
TCP | 03/30/1999 11:45:20 | 172.16.112.207:16500 | 194.27.251.21:25 | 14.97
TCP | 03/30/1999 15:17:46 | 172.16.112.194:8558 | 197.182.91.233:25 | 23.59
TCP | 03/30/1999 13:31:29 | 135.8.60.182:26716 | 172.16.112.50:25 | 16.99
TCP | 03/30/1999 15:51:52 | 194.27.251.21:2321 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:52:10 | 194.27.251.21:2755 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:16:13 | 196.227.33.189:9782 | 172.16.114.207:25 | 16.37
TCP | 03/30/1999 15:52:28 | 194.27.251.21:3084 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 12:20:54 | 172.16.113.204:16292 | 194.27.251.21:25 | 15.5
TCP | 03/30/1999 11:49:15 | 196.37.75.158:15581 | 172.16.114.50:25 | 21.62
TCP | 03/30/1999 13:15:49 | 196.227.33.189:25560 | 172.16.112.100:25 | 23.11
TCP | 03/30/1999 12:56:52 | 194.27.251.21:23650 | 172.16.114.207:25 | 24.26
TCP | 03/30/1999 08:42:30 | 172.16.113.84:5398 | 194.27.251.21:25 | 16.48
TCP | 03/30/1999 11:21:28 | 135.13.216.191:13773 | 172.16.113.50:25 | 112.02
TCP | 03/30/1999 15:51:28 | 194.27.251.21:2120 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 14:53:36 | 172.16.112.149:7837 | 197.182.91.233:25 | 18.39
TCP | 03/30/1999 14:05:59 | 196.227.33.189:30742 | 172.16.114.50:25 | 20.94
TCP | 03/30/1999 10:10:01 | 194.7.248.153:9454 | 172.16.112.100:25 | 22.18
TCP | 03/30/1999 15:40:20 | 197.182.91.233:12382 | 172.16.114.207:25 | 19.62
TCP | 03/30/1999 15:46:12 | 172.16.113.105:3328 | 197.218.177.69:25 | 17.81
TCP | 03/30/1999 08:35:46 | 196.37.75.158:2187 | 172.16.112.100:25 | 16.78
TCP | 03/30/1999 08:49:33 | 197.182.91.233:2796 | 172.16.114.207:25 | 17.61
TCP | 03/30/1999 12:17:09 | 172.16.114.148:12867 | 197.218.177.69:25 | 19.08
TCP | 03/30/1999 15:46:11 | 135.8.60.182:12996 | 172.16.112.194:25 | 21.12
TCP | 03/30/1999 12:09:26 | 195.115.218.108:16933 | 172.16.114.207:25 | 14.91
TCP | 03/30/1999 08:39:04 | 196.37.75.158:2318 | 172.16.112.100:25 | 25.09
TCP | 03/30/1999 11:38:53 | 135.8.60.182:14934 | 172.16.112.100:25 | 19.54
TCP | 03/30/1999 10:02:09 | 195.73.151.50:8868 | 172.16.114.207:25 | 121.15
TCP | 03/30/1999 12:31:53 | 194.7.248.153:20607 | 172.16.112.100:25 | 15.5
TCP | 03/30/1999 15:55:30 | 194.27.251.21:4273 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:54:48 | 194.27.251.21:4216 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:55:28 | 194.27.251.21:4268 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 14:14:51 | 172.16.114.169:8465 | 197.218.177.69:25 | 15.34
TCP | 03/30/1999 09:51:35 | 195.115.218.108:8300 | 172.16.112.100:25 | 20.63
TCP | 03/30/1999 09:45:37 | 195.73.151.50:8235 | 172.16.112.50:25 | 18.0
TCP | 03/30/1999 14:45:13 | 197.218.177.69:5368 | 172.16.113.84:25 | 21.45
TCP | 03/30/1999 11:57:02 | 172.16.112.149:26714 | 197.182.91.233:25 | 18.78
TCP | 03/30/1999 15:54:53 | 194.27.251.21:4221 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 12:03:29 | 197.218.177.69:16509 | 172.16.113.84:25 | 20.84
TCP | 03/30/1999 14:17:32 | 195.115.218.108:1195 | 172.16.113.84:25 | 16.53
TCP | 03/30/1999 14:14:20 | 197.218.177.69:1052 | 172.16.112.100:25 | 22.45
TCP | 03/30/1999 15:22:32 | 172.16.112.194:12416 | 197.182.91.233:25 | 14.97
TCP | 03/30/1999 15:22:41 | 194.27.251.21:10836 | 172.16.112.100:25 | 15.01
TCP | 03/30/1999 15:51:58 | 194.27.251.21:2449 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 08:05:45 | 135.13.216.191:1211 | 172.16.112.100:25 | 18.7
TCP | 03/30/1999 15:53:34 | 194.27.251.21:3660 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 12:53:32 | 197.218.177.69:1687 | 172.16.114.50:25 | 20.02
TCP | 03/30/1999 12:59:14 | 172.16.113.204:26000 | 194.27.251.21:25 | 16.67
TCP | 03/30/1999 11:38:43 | 196.227.33.189:14933 | 172.16.112.100:25 | 15.12
TCP | 03/30/1999 13:18:54 | 194.7.248.153:25816 | 172.16.113.84:25 | 23.85
TCP | 03/30/1999 10:36:09 | 172.16.113.105:12025 | 194.27.251.21:25 | 14.61
TCP | 03/30/1999 14:02:45 | 172.16.113.105:28284 | 194.27.251.21:25 | 19.45
TCP | 03/30/1999 14:34:54 | 194.7.248.153:3668 | 172.16.112.100:25 | 17.64
TCP | 03/30/1999 09:10:27 | 172.16.114.148:27174 | 197.218.177.69:25 | 23.72
TCP | 03/30/1999 12:20:24 | 172.16.113.84:15340 | 194.27.251.21:25 | 60.47
TCP | 03/30/1999 15:40:27 | 172.16.112.149:2910 | 197.182.91.233:25 | 20.65
TCP | 03/30/1999 15:35:04 | 194.27.251.21:12331 | 172.16.112.100:25 | 19.8
TCP | 03/30/1999 15:51:18 | 172.16.112.194:4216 | 194.27.251.21:25 | 14.78
TCP | 03/30/1999 15:55:05 | 194.27.251.21:4235 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 09:58:32 | 195.73.151.50:8317 | 172.16.113.84:25 | 16.69
TCP | 03/30/1999 11:49:01 | 197.182.91.233:15577 | 172.16.112.100:25 | 16.89
TCP | 03/30/1999 12:19:34 | 195.73.151.50:19273 | 172.16.114.207:25 | 14.06
TCP | 03/30/1999 09:19:00 | 197.218.177.69:4341 | 172.16.113.50:25 | 19.96
TCP | 03/30/1999 12:10:15 | 172.16.112.50:33005 | 197.182.91.233:25 | 18.16
TCP | 03/30/1999 15:52:15 | 194.27.251.21:2893 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:18:17 | 172.16.112.194:9038 | 194.27.251.21:25 | 15.51
TCP | 03/30/1999 12:11:29 | 197.218.177.69:17122 | 172.16.112.194:25 | 17.03
TCP | 03/30/1999 12:10:29 | 197.218.177.69:17059 | 172.16.112.194:25 | 22.07
TCP | 03/30/1999 09:35:15 | 172.16.114.207:19519 | 197.218.177.69:25 | 21.54
TCP | 03/30/1999 15:53:54 | 194.27.251.21:4154 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:54:39 | 194.27.251.21:4202 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 11:39:03 | 194.7.248.153:14993 | 172.16.114.207:25 | 20.56
TCP | 03/30/1999 09:18:23 | 194.7.248.153:4250 | 172.16.112.100:25 | 19.41
TCP | 03/30/1999 15:53:23 | 194.27.251.21:3335 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 09:22:05 | 172.16.114.169:6427 | 194.27.251.21:25 | 19.54
TCP | 03/30/1999 15:53:09 | 194.27.251.21:3147 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:53:13 | 194.27.251.21:3202 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 11:20:42 | 135.13.216.191:13578 | 172.16.114.207:25 | 122.12
TCP | 03/30/1999 15:52:34 | 194.27.251.21:3140 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:53:22 | 194.27.251.21:3334 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:26:03 | 194.7.248.153:11335 | 172.16.112.100:25 | 17.16
TCP | 03/30/1999 10:26:36 | 197.218.177.69:10367 | 172.16.113.84:25 | 176.73
TCP | 03/30/1999 15:32:35 | 172.16.112.207:31239 | 194.27.251.21:25 | 14.46
TCP | 03/30/1999 11:36:41 | 196.37.75.158:14637 | 172.16.113.84:25 | 23.73
TCP | 03/30/1999 14:38:38 | 172.16.112.149:8402 | 197.182.91.233:25 | 14.66
TCP | 03/30/1999 13:15:13 | 172.16.113.204:18458 | 197.218.177.69:25 | 23.11
TCP | 03/30/1999 14:02:36 | 172.16.114.148:27957 | 197.182.91.233:25 | 15.02
TCP | 03/30/1999 09:35:38 | 194.27.251.21:6865 | 172.16.114.50:25 | 22.69
TCP | 03/30/1999 15:36:33 | 172.16.114.168:2429 | 197.218.177.69:25 | 14.44
TCP | 03/30/1999 15:47:20 | 195.73.151.50:13347 | 172.16.113.84:25 | 21.85
TCP | 03/30/1999 13:40:30 | 195.115.218.108:27033 | 172.16.113.84:25 | 20.19
TCP | 03/30/1999 10:04:31 | 135.13.216.191:9265 | 172.16.112.50:25 | 23.27
TCP | 03/30/1999 15:52:14 | 194.27.251.21:2892 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 13:11:32 | 172.16.112.149:15007 | 197.182.91.233:25 | 14.93
TCP | 03/30/1999 15:55:14 | 194.27.251.21:4248 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:53:39 | 194.27.251.21:3725 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 12:19:41 | 135.8.60.182:19336 | 172.16.113.84:25 | 17.69
TCP | 03/30/1999 12:32:31 | 172.16.113.204:30009 | 197.218.177.69:25 | 20.55
TCP | 03/30/1999 08:48:29 | 194.7.248.153:2749 | 172.16.114.207:25 | 19.15
TCP | 03/30/1999 10:09:41 | 172.16.114.169:24628 | 197.218.177.69:25 | 15.9
TCP | 03/30/1999 15:55:20 | 194.27.251.21:4253 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 12:29:09 | 172.16.114.148:27152 | 194.27.251.21:25 | 43.18
TCP | 03/30/1999 14:41:16 | 172.16.114.168:14261 | 194.27.251.21:25 | 17.25
TCP | 03/30/1999 08:03:09 | 135.13.216.191:1113 | 172.16.114.207:25 | 20.12
TCP | 03/30/1999 14:41:03 | 196.37.75.158:4536 | 172.16.112.100:25 | 23.28
TCP | 03/30/1999 15:51:17 | 194.27.251.21:2066 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:45:08 | 195.73.151.50:12846 | 172.16.112.194:25 | 17.71
TCP | 03/30/1999 15:11:14 | 197.182.91.233:9049 | 172.16.112.50:25 | 14.09
TCP | 03/30/1999 09:13:11 | 194.7.248.153:4216 | 172.16.113.84:25 | 16.19
TCP | 03/30/1999 11:23:11 | 172.16.112.207:23370 | 197.218.177.69:25 | 21.46
TCP | 03/30/1999 15:53:53 | 194.27.251.21:4152 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 15:27:08 | 135.13.216.191:11340 | 172.16.112.100:25 | 19.47
TCP | 03/30/1999 12:02:07 | 172.16.114.50:2539 | 197.182.91.233:25 | 20.3
TCP | 03/30/1999 13:49:54 | 172.16.112.207:12380 | 194.27.251.21:25 | 34.18
TCP | 03/30/1999 10:15:30 | 197.182.91.233:9687 | 172.16.114.207:25 | 48.98
TCP | 03/30/1999 15:52:13 | 194.27.251.21:2830 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 13:25:16 | 172.16.113.84:2105 | 197.182.91.233:25 | 22.45
TCP | 03/30/1999 09:47:05 | 194.27.251.21:8252 | 172.16.114.207:25 | 17.87
TCP | 03/30/1999 08:44:08 | 195.73.151.50:2613 | 172.16.112.50:25 | 14.01
TCP | 03/30/1999 14:15:08 | 172.16.112.149:9366 | 194.27.251.21:25 | 16.47
TCP | 03/30/1999 10:55:22 | 135.13.216.191:11398 | 172.16.113.50:25 | 33.35
TCP | 03/30/1999 15:55:29 | 194.27.251.21:4269 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 10:18:59 | 194.7.248.153:9834 | 172.16.112.100:25 | 15.14
TCP | 03/30/1999 15:53:24 | 172.16.112.149:4845 | 197.182.91.233:25 | 14.34
TCP | 03/30/1999 15:51:47 | 194.27.251.21:2317 | 172.16.114.50:25 | 30.68
TCP | 03/30/1999 08:11:03 | 172.16.113.204:2130 | 197.218.177.69:25 | 18.3
