TCP | 03/30/1999 09:10:46 | 172.16.112.50:32853 | 197.182.91.233:21 | 72.16
TCP | 03/30/1999 08:58:51 | 196.37.75.158:3203 | 172.16.112.100:25 | 21.82
TCP | 03/30/1999 09:08:04 | 197.218.177.69:4185 | 172.16.112.100:25 | 22.13
TCP | 03/30/1999 09:22:44 | 172.16.112.194:7463 | 197.218.177.69:25 | 16.22
TCP | 03/30/1999 08:03:00 | 135.13.216.191:1104 | 172.16.114.50:25 | 17.94
TCP | 03/30/1999 08:55:06 | 172.16.114.168:9363 | 194.27.251.21:25 | 21.93
TCP | 03/30/1999 09:20:51 | 197.218.177.69:4543 | 172.16.112.100:25 | 17.55
TCP | 03/30/1999 08:40:42 | 194.27.251.21:1369 | 172.16.112.100:25 | 721.95
TCP | 03/30/1999 09:34:41 | 197.218.177.69:6804 | 172.16.112.100:25 | 24.63
TCP | 03/30/1999 09:13:11 | 194.7.248.153:4216 | 172.16.113.84:25 | 16.19
TCP | 03/30/1999 09:40:11 | 196.37.75.158:6993 | 172.16.112.100:25 | 23.58
TCP | 03/30/1999 08:33:59 | 197.182.91.233:2132 | 172.16.112.194:25 | 295.63
TCP | 03/30/1999 08:55:10 | 197.182.91.233:2866 | 172.16.112.100:25 | 17.78
TCP | 03/30/1999 09:44:12 | 172.16.114.148:28997 | 194.27.251.21:25 | 22.56
TCP | 03/30/1999 09:36:10 | 194.27.251.21:6868 | 172.16.112.100:25 | 18.81
TCP | 03/30/1999 08:48:26 | 194.7.248.153:2677 | 172.16.114.50:25 | 18.27
TCP | 03/30/1999 08:48:32 | 194.7.248.153:2766 | 172.16.112.50:25 | 17.5
TCP | 03/30/1999 09:34:49 | 135.8.60.182:6805 | 172.16.114.207:25 | 20.71
TCP | 03/30/1999 09:36:25 | 172.16.113.84:20571 | 194.27.251.21:25 | 17.77
TCP | 03/30/1999 09:41:18 | 195.73.151.50:7329 | 172.16.114.50:25 | 17.1
TCP | 03/30/1999 08:33:56 | 172.16.114.148:4701 | 194.27.251.21:25 | 15.46
TCP | 03/30/1999 08:31:51 | 195.73.151.50:2123 | 172.16.114.207:25 | 17.56
TCP | 03/30/1999 08:20:23 | 196.227.33.189:2063 | 172.16.113.84:25 | 14.73
TCP | 03/30/1999 08:49:34 | 197.182.91.233:2797 | 172.16.112.194:25 | 17.57
TCP | 03/30/1999 08:16:43 | 172.16.113.105:3076 | 194.27.251.21:25 | 24.81
TCP | 03/30/1999 08:42:54 | 197.182.91.233:2610 | 172.16.113.84:25 | 16.72
TCP | 03/30/1999 09:26:35 | 194.27.251.21:6184 | 172.16.114.207:25 | 20.79
TCP | 03/30/1999 08:48:46 | 197.182.91.233:2791 | 172.16.112.100:25 | 52.23
TCP | 03/30/1999 09:44:14 | 196.227.33.189:7518 | 172.16.112.194:25 | 21.96
TCP | 03/30/1999 08:31:03 | 135.13.216.191:2116 | 172.16.112.194:25 | 17.02
TCP | 03/30/1999 09:47:05 | 194.27.251.21:8252 | 172.16.114.207:25 | 17.87
TCP | 03/30/1999 08:44:08 | 195.73.151.50:2613 | 172.16.112.50:25 | 14.01
TCP | 03/30/1999 09:18:55 | 197.218.177.69:4325 | 172.16.113.84:25 | 19.45
TCP | 03/30/1999 08:12:23 | 195.115.218.108:1362 | 172.16.113.84:25 | 19.57
TCP | 03/30/1999 08:48:12 | 135.13.216.191:2675 | 172.16.112.100:25 | 14.14
TCP | 03/30/1999 08:03:01 | 135.13.216.191:1108 | 172.16.112.50:25 | 18.04
TCP | 03/30/1999 08:11:03 | 172.16.113.204:2130 | 197.218.177.69:25 | 18.3
TCP | 03/30/1999 08:12:25 | 195.115.218.108:1488 | 172.16.112.194:25 | 19.03
TCP | 03/30/1999 09:09:00 | 197.182.91.233:4190 | 172.16.114.207:25 | 20.89
TCP | 03/30/1999 08:28:33 | 172.16.112.194:4366 | 194.27.251.21:25 | 23.35
TCP | 03/30/1999 09:34:17 | 196.227.33.189:6803 | 172.16.114.207:25 | 21.99
TCP | 03/30/1999 08:57:41 | 135.13.216.191:3139 | 172.16.112.100:25 | 20.21
TCP | 03/30/1999 08:37:43 | 195.115.218.108:2254 | 172.16.112.100:25 | 23.69
TCP | 03/30/1999 09:45:12 | 172.16.112.194:29811 | 194.27.251.21:25 | 20.03
TCP | 03/30/1999 08:04:12 | 194.27.251.21:1197 | 172.16.113.84:25 | 15.53
TCP | 03/30/1999 08:02:26 | 197.218.177.69:1028 | 172.16.112.194:25 | 15.39
TCP | 03/30/1999 09:18:52 | 172.16.114.169:3138 | 197.218.177.69:25 | 18.41
TCP | 03/30/1999 08:03:43 | 196.227.33.189:1169 | 172.16.114.207:25 | 21.46
TCP | 03/30/1999 09:22:08 | 172.16.114.169:7057 | 197.182.91.233:25 | 18.7
TCP | 03/30/1999 08:28:21 | 194.27.251.21:2076 | 172.16.112.100:25 | 25.0
TCP | 03/30/1999 08:42:30 | 172.16.113.84:5398 | 194.27.251.21:25 | 16.48
TCP | 03/30/1999 08:04:44 | 196.227.33.189:1204 | 172.16.114.207:25 | 20.92
TCP | 03/30/1999 08:55:14 | 135.8.60.182:3135 | 172.16.112.194:25 | 17.6
TCP | 03/30/1999 09:36:45 | 172.16.114.50:1681 | 197.182.91.233:25 | 21.78
TCP | 03/30/1999 08:37:15 | 172.16.112.149:4734 | 197.218.177.69:25 | 14.8
TCP | 03/30/1999 09:25:48 | 197.182.91.233:6177 | 172.16.113.50:25 | 18.07
TCP | 03/30/1999 09:18:44 | 195.73.151.50:4251 | 172.16.113.84:25 | 15.29
TCP | 03/30/1999 08:12:43 | 195.73.151.50:1560 | 172.16.112.100:25 | 17.95
TCP | 03/30/1999 08:23:43 | 172.16.114.148:3521 | 197.182.91.233:25 | 18.45
TCP | 03/30/1999 09:36:29 | 195.73.151.50:6869 | 172.16.112.194:25 | 299.76
TCP | 03/30/1999 08:17:56 | 172.16.113.204:3202 | 197.218.177.69:25 | 18.9
TCP | 03/30/1999 08:35:46 | 196.37.75.158:2187 | 172.16.112.100:25 | 16.78
TCP | 03/30/1999 09:01:56 | 172.16.112.50:32848 | 194.27.251.21:25 | 14.28
TCP | 03/30/1999 09:36:36 | 196.37.75.158:6930 | 172.16.112.100:25 | 22.08
TCP | 03/30/1999 08:48:40 | 196.227.33.189:2783 | 172.16.114.207:25 | 19.01
TCP | 03/30/1999 08:38:44 | 172.16.112.194:4874 | 197.182.91.233:25 | 14.75
TCP | 03/30/1999 08:01:14 | 196.227.33.189:1024 | 172.16.112.194:25 | 17.92
TCP | 03/30/1999 09:34:49 | 172.16.112.194:18978 | 197.182.91.233:25 | 53.04
TCP | 03/30/1999 08:16:36 | 172.16.114.207:3075 | 197.218.177.69:25 | 21.85
TCP | 03/30/1999 09:46:25 | 135.13.216.191:8242 | 172.16.113.84:25 | 21.52
TCP | 03/30/1999 08:49:33 | 197.182.91.233:2796 | 172.16.114.207:25 | 17.61
TCP | 03/30/1999 09:34:19 | 172.16.114.207:18770 | 194.27.251.21:25 | 74.86
TCP | 03/30/1999 08:13:24 | 135.8.60.182:1054 | 172.16.114.207:25 | 50.11
TCP | 03/30/1999 08:16:35 | 195.115.218.108:1810 | 172.16.114.207:25 | 23.02
TCP | 03/30/1999 09:10:02 | 197.218.177.69:4193 | 172.16.113.84:25 | 20.22
TCP | 03/30/1999 08:04:48 | 194.7.248.153:1205 | 172.16.113.84:25 | 20.11
TCP | 03/30/1999 08:39:04 | 196.37.75.158:2318 | 172.16.112.100:25 | 25.09
TCP | 03/30/1999 08:03:11 | 172.16.113.105:1106 | 197.218.177.69:25 | 15.07
TCP | 03/30/1999 08:55:39 | 195.73.151.50:3138 | 172.16.112.100:25 | 23.8
TCP | 03/30/1999 09:14:32 | 195.73.151.50:4230 | 172.16.112.100:25 | 16.11
TCP | 03/30/1999 09:12:27 | 196.37.75.158:4209 | 172.16.112.100:25 | 22.61
TCP | 03/30/1999 08:06:43 | 172.16.113.204:1221 | 197.182.91.233:25 | 17.19
TCP | 03/30/1999 08:06:35 | 195.73.151.50:1215 | 172.16.113.84:25 | 21.29
TCP | 03/30/1999 08:28:57 | 195.115.218.108:2113 | 172.16.112.100:25 | 15.57
TCP | 03/30/1999 09:51:35 | 195.115.218.108:8300 | 172.16.112.100:25 | 20.63
TCP | 03/30/1999 09:45:37 | 195.73.151.50:8235 | 172.16.112.50:25 | 18.0
TCP | 03/30/1999 08:35:13 | 172.16.112.194:4703 | 197.218.177.69:25 | 19.06
TCP | 03/30/1999 08:21:03 | 197.218.177.69:2065 | 172.16.112.100:25 | 17.67
TCP | 03/30/1999 08:03:02 | 135.13.216.191:1109 | 172.16.113.50:25 | 17.42
TCP | 03/30/1999 09:01:59 | 135.13.216.191:3655 | 172.16.112.100:25 | 22.69
TCP | 03/30/1999 09:42:51 | 172.16.114.169:27906 | 197.218.177.69:25 | 24.12
TCP | 03/30/1999 09:32:40 | 196.37.75.158:6446 | 172.16.113.84:25 | 17.08
TCP | 03/30/1999 09:04:46 | 197.182.91.233:4175 | 172.16.113.84:25 | 29.19
TCP | 03/30/1999 09:22:07 | 135.8.60.182:5057 | 172.16.112.194:25 | 42.66
TCP | 03/30/1999 09:08:16 | 172.16.113.105:24391 | 197.218.177.69:25 | 17.08
TCP | 03/30/1999 08:39:29 | 197.218.177.69:2319 | 172.16.113.84:25 | 15.34
TCP | 03/30/1999 08:05:45 | 135.13.216.191:1211 | 172.16.112.100:25 | 18.7
TCP | 03/30/1999 09:44:31 | 194.7.248.153:7708 | 172.16.112.194:25 | 14.26
TCP | 03/30/1999 08:53:08 | 172.16.113.84:8269 | 197.218.177.69:25 | 35.45
TCP | 03/30/1999 09:45:06 | 172.16.114.148:29810 | 197.182.91.233:25 | 21.39
TCP | 03/30/1999 09:34:22 | 172.16.114.207:18840 | 197.218.177.69:25 | 74.88
TCP | 03/30/1999 08:32:21 | 197.182.91.233:2128 | 172.16.113.84:25 | 55.48
TCP | 03/30/1999 08:54:23 | 172.16.114.207:8749 | 197.182.91.233:25 | 17.97
TCP | 03/30/1999 09:40:20 | 135.13.216.191:7087 | 172.16.112.50:25 | 14.55
TCP | 03/30/1999 09:13:22 | 194.7.248.153:4229 | 172.16.112.194:25 | 25.9
TCP | 03/30/1999 09:45:35 | 195.73.151.50:8233 | 172.16.114.207:25 | 17.7
TCP | 03/30/1999 09:13:16 | 194.7.248.153:4223 | 172.16.114.207:25 | 15.42
TCP | 03/30/1999 09:46:09 | 194.7.248.153:8240 | 172.16.112.100:25 | 25.75
TCP | 03/30/1999 09:11:51 | 172.16.113.84:28529 | 197.218.177.69:25 | 16.55
TCP | 03/30/1999 09:21:02 | 197.218.177.69:4551 | 172.16.112.100:25 | 55.83
TCP | 03/30/1999 08:54:44 | 135.13.216.191:2804 | 172.16.112.100:25 | 19.74
TCP | 03/30/1999 08:52:05 | 194.27.251.21:2803 | 172.16.113.84:25 | 24.1
TCP | 03/30/1999 08:02:14 | 195.73.151.50:1026 | 172.16.114.207:25 | 24.58
TCP | 03/30/1999 08:59:24 | 135.8.60.182:3334 | 172.16.112.100:25 | 22.41
TCP | 03/30/1999 09:33:22 | 135.8.60.182:6572 | 172.16.112.100:25 | 24.65
TCP | 03/30/1999 09:41:57 | 197.182.91.233:7398 | 172.16.112.50:25 | 28.13
TCP | 03/30/1999 08:18:10 | 197.218.177.69:1814 | 172.16.112.100:25 | 15.65
TCP | 03/30/1999 09:43:02 | 197.218.177.69:7514 | 172.16.112.100:25 | 19.59
TCP | 03/30/1999 09:41:31 | 172.16.113.84:27116 | 197.218.177.69:25 | 18.48
TCP | 03/30/1999 08:44:07 | 195.73.151.50:2611 | 172.16.113.84:25 | 13.84
TCP | 03/30/1999 08:59:30 | 194.27.251.21:3406 | 172.16.113.50:25 | 21.78
TCP | 03/30/1999 08:48:31 | 194.7.248.153:2751 | 172.16.112.194:25 | 18.67
TCP | 03/30/1999 08:22:21 | 172.16.112.149:3392 | 194.27.251.21:25 | 15.48
TCP | 03/30/1999 08:59:28 | 194.27.251.21:3342 | 172.16.113.84:25 | 21.82
TCP | 03/30/1999 09:51:28 | 197.182.91.233:8299 | 172.16.114.207:25 | 25.98
TCP | 03/30/1999 09:10:27 | 172.16.114.148:27174 | 197.218.177.69:25 | 23.72
TCP | 03/30/1999 09:44:27 | 194.7.248.153:7581 | 172.16.113.84:25 | 13.94
TCP | 03/30/1999 09:46:31 | 135.13.216.191:8249 | 172.16.112.194:25 | 21.71
TCP | 03/30/1999 09:00:06 | 195.115.218.108:3587 | 172.16.112.100:25 | 15.14
TCP | 03/30/1999 09:19:00 | 197.218.177.69:4341 | 172.16.113.50:25 | 19.96
TCP | 03/30/1999 09:22:51 | 172.16.112.207:7470 | 197.218.177.69:25 | 17.32
TCP | 03/30/1999 08:37:14 | 172.16.112.149:4732 | 197.182.91.233:25 | 14.84
TCP | 03/30/1999 09:26:33 | 194.27.251.21:6180 | 172.16.113.84:25 | 20.12
TCP | 03/30/1999 09:17:03 | 194.7.248.153:4242 | 172.16.112.100:25 | 17.21
TCP | 03/30/1999 09:35:15 | 172.16.114.207:19519 | 197.218.177.69:25 | 21.54
TCP | 03/30/1999 08:03:47 | 135.13.216.191:1170 | 172.16.112.194:25 | 19.07
TCP | 03/30/1999 09:18:45 | 195.73.151.50:4252 | 172.16.114.207:25 | 15.29
TCP | 03/30/1999 08:37:31 | 194.7.248.153:2189 | 172.16.112.100:25 | 20.96
TCP | 03/30/1999 08:36:25 | 195.73.151.50:2188 | 172.16.112.100:25 | 19.74
TCP | 03/30/1999 08:44:59 | 195.115.218.108:2672 | 172.16.112.194:25 | 17.99
TCP | 03/30/1999 09:39:50 | 172.16.112.149:25183 | 197.218.177.69:25 | 19.16
TCP | 03/30/1999 09:18:23 | 194.7.248.153:4250 | 172.16.112.100:25 | 19.41
TCP | 03/30/1999 09:24:04 | 197.182.91.233:5517 | 172.16.113.84:25 | 15.84
TCP | 03/30/1999 08:55:10 | 135.8.60.182:2993 | 172.16.114.207:25 | 18.97
TCP | 03/30/1999 08:11:27 | 172.16.114.168:2131 | 194.27.251.21:25 | 20.94
TCP | 03/30/1999 08:45:43 | 194.7.248.153:2674 | 172.16.112.100:25 | 120.36
TCP | 03/30/1999 09:22:05 | 172.16.114.169:6427 | 194.27.251.21:25 | 19.54
TCP | 03/30/1999 08:25:25 | 135.8.60.182:1201 | 172.16.113.84:25 | 23.4
TCP | 03/30/1999 09:21:51 | 172.16.112.194:6162 | 197.218.177.69:25 | 20.61
TCP | 03/30/1999 08:02:25 | 197.218.177.69:1027 | 172.16.113.84:25 | 15.46
TCP | 03/30/1999 09:18:54 | 197.218.177.69:4320 | 172.16.112.194:25 | 18.85
Max attack 25 : 721.951631340915
Min attack 25 : 13.329891640348196
Max free 25 : 367.4764023244461
Min free 25 : 13.556763884111449
Total time is : 0 hour 0 minutes 0 seconds
Total attack packet: 191
Total free packet: 281

Max attack 80 : NaN
Min attack 80 : NaN
Max free 80 : NaN
Min free 80 : NaN
Total time is : 0 hour 0 minutes 0 seconds
Total attack packet: 105
Total free packet: 5243

UDP | 03/30/1999 08:02:26 | 172.16.112.20:53 | 197.218.177.69:53 | 6.36
UDP | 03/30/1999 08:00:05 | 192.168.1.10:53 | 172.16.112.20:53 | 218.59
UDP | 03/30/1999 09:36:40 | 172.16.112.20:53 | 197.182.91.233:53 | 2.16
UDP | 03/30/1999 08:04:13 | 172.16.112.20:53 | 194.27.251.21:53 | 8.73
UDP | 03/30/1999 08:05:02 | 192.168.1.20:53 | 172.16.112.20:53 | 233.69
Max attack 53 : 233.68986852294094
Min attack 53 : 2.1583899637122825
Max free 53 : 60.464069478643225
Min free 53 : 2.1116270988229653
Total time is : 0 hour 0 minutes 0 seconds
Total attack packet: 5
Total free packet: 26




